phase,flux_fitted
-0.00048503668613652606,0.9757882682583631
-0.0004447315771198876,0.9757856675818883
-0.0004044264681032492,0.9757832933627485
-0.0003641213590866108,0.9757811453405087
-0.0003238162500699723,0.9757792248490326
-0.0002835111410533339,0.9757775350981832
-0.0002432061134248212,0.97577607234984
-0.0002029010044081828,0.975774835621085
-0.00016259589539154435,0.9757738240151984
-0.00012229078637490592,0.9757730366941431
-8.19856773582675e-05,0.9757724728812737
-4.168056834162907e-05,0.9757721318965947
-1.3754593249906394e-06,0.9757720132449383
3.892956830352205e-05,0.9757721167324643
7.923467732016048e-05,0.9757724425289718
0.0001195397863367989,0.9757729911126932
0.00015984489535343733,0.9757737631544212
0.00020015000437007577,0.975774759425869
0.0002404551133867142,0.9757759807611442
0.00028076022240335264,0.9757774280555185
0.0003210652500318653,0.9757791022765621
0.00036137035904850373,0.975781006968715
0.0004016754680651422,0.9757831395609422
0.0004419805770817806,0.9757854983331138
0.000482285686098419,0.9757880835441313
0.0005225907951150574,0.9757908954752655
0.0005628959041316959,0.9757939344299822
0.0006032010131483344,0.9757972007338194
0.000643506040776847,0.9758006947270211
0.0006838111497934854,0.9758044167931799
0.0007241162588101238,0.9758083673169035
0.0007644213678267623,0.97581254671161
0.0008047264768434008,0.9758169554127645
0.0008450315858600392,0.97582159387797
0.0008853366948766776,0.9758264625870819
0.0009256417225051903,0.9758315620318105
0.0009659468315218287,0.975836892757529
0.001006251940538467,0.9758424553016607
0.0010465570495551055,0.9758482502345834
0.001086862158571744,0.9758542781497616
0.0011271672675883823,0.9758605396639555
0.001167472376605021,0.9758670354174411
0.0012077774042335335,0.9758737660604109
0.001248082513250172,0.9758807323080554
0.0012883876222668103,0.9758879348592698
