# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: wavelength, datatype: float64}
# - {name: bin_width, datatype: float64}
# - {name: lcdata, datatype: float32}
# - {name: lcerr, datatype: float32}
# - {name: polynomial, datatype: float64}
# - {name: ypos, datatype: float64}
# - {name: ywidth, datatype: float64}
# - {name: astrophysical model, datatype: float64}
# - {name: model, datatype: float64}
# - {name: residuals, datatype: float64}
# schema: astropy-2.0
time wavelength bin_width lcdata lcerr polynomial ypos ywidth "astrophysical model" model residuals
2460776.844324475 0.075 0.0 1.0034908 0.0012790052 1.0033903257625414 1.0 1.0 1.0 1.0033903257625414 0.00010047986337413661
2460776.845713342 0.075 0.0 1.0044299 0.0012781163 1.0033897328599455 1.0 1.0 1.0 1.0033897328599455 0.0010402035490510997
2460776.847102209 0.075 0.0 1.002835 0.0012777074 1.0033891399573496 1.0 1.0 1.0 1.0033891399573496 -0.0005541046332528943
2460776.8484910764 0.075 0.0 1.0031337 0.0012784108 1.003388547054555 1.0 1.0 1.0 1.003388547054555 -0.00025489246013354894
2460776.8498799433 0.075 0.0 1.0037423 0.0012778933 1.003387954151959 1.0 1.0 1.0 1.003387954151959 0.0003543830749086485
2460776.85126881 0.075 0.0 1.0033548 0.001277848 1.0033873612493631 1.0 1.0 1.0 1.0033873612493631 -3.257342282503295e-05
2460776.852657677 0.075 0.0 1.0025979 0.0012779154 1.0033867683467672 1.0 1.0 1.0 1.0033867683467672 -0.0007888402995870347
2460776.854046544 0.075 0.0 1.0038269 0.0012787869 1.0033861754441713 1.0 1.0 1.0 1.0033861754441713 0.00044068116898787757
2460776.8554354114 0.075 0.0 1.0025351 0.0012781278 1.0033855825413764 1.0 1.0 1.0 1.0033855825413764 -0.0008504777897895277
2460776.8568242784 0.075 0.0 1.0043851 0.0012794762 1.0033849896387805 1.0 1.0 1.0 1.0033849896387805 0.001000124077344955
2460776.8582131453 0.075 0.0 1.0023329 0.001277262 1.0033843967361846 1.0 1.0 1.0 1.0033843967361846 -0.001051470939675836
2460776.859602012 0.075 0.0 1.0023841 0.0012778331 1.0033838038335887 1.0 1.0 1.0 1.0033838038335887 -0.0009997372518626424
2460776.860990879 0.075 0.0 1.0040237 0.0012779743 1.0033832109309928 1.0 1.0 1.0 1.0033832109309928 0.0006404602192147113
2460776.862379746 0.075 0.0 1.002415 0.0012775966 1.003382618028397 1.0 1.0 1.0 1.003382618028397 -0.0009676762406771733
2460776.863768613 0.075 0.0 1.0064293 0.0012788747 1.003382025125801 1.0 1.0 0.9996200796187424 1.0030008198442681 0.003428494769074142
2460776.86515748 0.075 0.0 1.002355 0.0012779103 1.003381432223205 1.0 1.0 0.998531369288049 1.0019078354360407 0.0004471440790350112
2460776.866546347 0.075 0.0 0.99973303 0.0012765492 1.0033808393206092 1.0 1.0 0.9970396545202103 1.0004104853884188 -0.0006774545923677877
2460776.8679352137 0.075 0.0 0.99840957 0.0012766917 1.0033802464180133 1.0 1.0 0.995256435098004 0.9986206470977487 -0.0002110778342904185
2460776.8693240806 0.075 0.0 0.9955193 0.0012752523 1.0033796535154174 1.0 1.0 0.9932594054292422 0.9966162780705224 -0.0010969976368676582
2460776.8707129476 0.075 0.0 0.9930376 0.0012736195 1.0033790606128214 1.0 1.0 0.9911163359942549 0.994465378167937 -0.0014277967241503875
2460776.8721018145 0.075 0.0 0.9930833 0.0012735185 1.0033784677102255 1.0 1.0 0.9888945589617325 0.9922355072980025 0.0008477909083268731
2460776.8734906814 0.075 0.0 0.991113 0.0012724105 1.0033778748076296 1.0 1.0 0.9866680449722529 0.9900008861048578 0.0011121209637762197
2460776.8748795483 0.075 0.0 0.9887883 0.0012721164 1.0033772819050337 1.0 1.0 0.9845267558628938 0.9878517802604911 0.0009365264526131067
2460776.8762684152 0.075 0.0 0.98780704 0.0012717199 1.0033766890024378 1.0 1.0 0.9825968124703559 0.985914736320855 0.0018922991253119692
2460776.877657282 0.075 0.0 0.9854761 0.0012700041 1.003376096099842 1.0 1.0 0.9811265019076975 0.9844388792642396 0.0010371973386962274
2460776.879046149 0.075 0.0 0.9851786 0.0012698078 1.003375503197246 1.0 1.0 0.9804983874176234 0.9838080628592462 0.001370526961615659
2460776.880435016 0.075 0.0 0.98182744 0.001268829 1.00337491029465 1.0 1.0 0.97997960790949 0.9832869511767709 -0.0014595132991158666
2460776.8818238825 0.075 0.0 0.98083854 0.0012682078 1.003374317392253 1.0 1.0 0.9795138642445196 0.9828190549125927 -0.00198051769640617
2460776.8832127494 0.075 0.0 0.9812826 0.0012677113 1.003373724489657 1.0 1.0 0.9790890367414081 0.9823922134022173 -0.00110962158245409
2460776.8846016163 0.075 0.0 0.98133093 0.0012678589 1.003373131587061 1.0 1.0 0.9786979970209383 0.981999274148883 -0.0006683429622069692
2460776.885990483 0.075 0.0 0.98237365 0.0012691848 1.0033725386844652 1.0 1.0 0.9783359752470263 0.9816354511699509 0.0007382036724258301
